run,status,car_3d_ap_0_30,car_3d_ap_0_50,car_3d_ap_0_70,car_bev_ap_0_30,car_bev_ap_0_50,car_bev_ap_0_70,avg_comm_bytes,log
early_fusion_k0,complete,70.98,62.61,37.5,72.3,68.94,59.02,2284.16,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k0.log
early_fusion_k1,complete,68.18,57.32,32.68,70.07,64.05,51.58,2289.4,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k1.log
early_fusion_k2,complete,65.7,54.62,32.17,67.74,61.07,50.04,2316.11,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k2.log
early_fusion_k3,complete,62.67,52.54,31.56,64.79,58.85,48.61,2379.61,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k3.log
early_fusion_k4,complete,61.04,52.08,31.65,62.95,57.76,48.08,2431.87,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k4.log
early_fusion_k5,complete,59.94,50.93,30.98,61.58,56.47,46.99,2496.6,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/early_fusion_k5.log
inf_only_k0,complete,32.78,17.6,7.06,36.39,27.34,14.42,478.56,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/inf_only_k0.log
late_fusion_no_comp_k1,complete,64.46,53.73,36.88,66.49,59.9,50.11,478.76,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_no_comp_k1.log
late_fusion_no_comp_k2,complete,63.41,52.38,36.54,65.56,58.07,49.26,477.96,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_no_comp_k2.log
late_fusion_no_comp_k3,complete,62.02,51.36,36.25,64.01,56.9,48.8,477.4,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_no_comp_k3.log
late_fusion_no_comp_k4,complete,61.08,51.15,36.3,62.86,56.47,48.63,471.24,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_no_comp_k4.log
late_fusion_no_comp_k5,complete,60.44,50.87,36.17,62.14,56.18,48.36,466.53,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_no_comp_k5.log
late_fusion_tclf_k0,complete,65.55,55.98,40.01,67.39,62.0,54.11,911.96,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k0.log
late_fusion_tclf_k1,complete,64.52,54.01,37.59,66.5,60.14,51.11,907.78,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k1.log
late_fusion_tclf_k2,complete,63.39,53.33,37.25,65.26,59.14,50.51,898.1,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k2.log
late_fusion_tclf_k3,complete,62.36,52.14,36.57,64.16,57.8,49.46,885.55,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k3.log
late_fusion_tclf_k4,complete,61.44,51.74,36.46,63.2,57.22,49.07,870.67,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k4.log
late_fusion_tclf_k5,complete,60.89,51.29,36.3,62.6,56.75,48.71,861.65,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/late_fusion_tclf_k5.log
veh_only_k0,complete,55.05,48.03,35.08,56.05,52.24,46.51,0.0,/raid/xuyifan/v2x_code_ckpt/results/dair_v2x/official_baselines/logs/veh_only_k0.log
