comm_delay_frames,comp_delay_frames,comm_delay_s,comp_delay_s,remote_rollout_frames,local_rollout_frames,mode,prediction_horizon_frames,target_horizon_frames,samples,pred_iou,copy_last_iou,delta_iou,dynamic_iou
0,0,0.0,0.0,0,0,oracle,0,0,5585,1.0,1.0,0.0,1.0
1,0,0.2,0.0,1,0,oracle,1,1,5585,1.0,0.46673927255004266,0.5332607274499573,1.0
2,0,0.4,0.0,2,0,oracle,2,2,5585,1.0,0.2773573426614537,0.7226426573385464,1.0
3,0,0.6000000000000001,0.0,3,0,oracle,3,3,5585,1.0,0.19306594553861994,0.8069340544613801,1.0
4,0,0.8,0.0,4,0,oracle,4,4,5585,1.0,0.14799095312329913,0.8520090468767009,1.0
5,0,1.0,0.0,5,0,oracle,5,5,5585,1.0,0.11969975424527922,0.8803002457547208,1.0
0,1,0.0,0.2,1,1,oracle,1,1,5585,1.0,0.46673927255004266,0.5332607274499573,1.0
1,1,0.2,0.2,2,1,oracle,2,2,5585,1.0,0.2773573426614537,0.7226426573385464,1.0
2,1,0.4,0.2,3,1,oracle,3,3,5585,1.0,0.19306594553861994,0.8069340544613801,1.0
3,1,0.6000000000000001,0.2,4,1,oracle,4,4,5585,1.0,0.14799095312329913,0.8520090468767009,1.0
4,1,0.8,0.2,5,1,oracle,5,5,5585,1.0,0.11969975424527922,0.8803002457547208,1.0
5,1,1.0,0.2,6,1,oracle,6,6,5585,1.0,0.10469595876112661,0.8953040412388734,1.0
0,2,0.0,0.4,2,2,oracle,2,2,5585,1.0,0.2773573426614537,0.7226426573385464,1.0
1,2,0.2,0.4,3,2,oracle,3,3,5585,1.0,0.19306594553861994,0.8069340544613801,1.0
2,2,0.4,0.4,4,2,oracle,4,4,5585,1.0,0.14799095312329913,0.8520090468767009,1.0
3,2,0.6000000000000001,0.4,5,2,oracle,5,5,5585,1.0,0.11969975424527922,0.8803002457547208,1.0
4,2,0.8,0.4,6,2,oracle,6,6,5585,1.0,0.10469595876112661,0.8953040412388734,1.0
5,2,1.0,0.4,7,2,oracle,7,7,5585,1.0,0.09422200815315152,0.9057779918468485,1.0
0,3,0.0,0.6000000000000001,3,3,oracle,3,3,5585,1.0,0.19306594553861994,0.8069340544613801,1.0
1,3,0.2,0.6000000000000001,4,3,oracle,4,4,5585,1.0,0.14799095312329913,0.8520090468767009,1.0
2,3,0.4,0.6000000000000001,5,3,oracle,5,5,5585,1.0,0.11969975424527922,0.8803002457547208,1.0
3,3,0.6000000000000001,0.6000000000000001,6,3,oracle,6,6,5585,1.0,0.10469595876112661,0.8953040412388734,1.0
4,3,0.8,0.6000000000000001,7,3,oracle,7,7,5585,1.0,0.09422200815315152,0.9057779918468485,1.0
5,3,1.0,0.6000000000000001,8,3,oracle,8,8,5585,1.0,0.08804679389454301,0.9119532061054568,1.0
0,4,0.0,0.8,4,4,oracle,4,4,5585,1.0,0.14799095312329913,0.8520090468767009,1.0
1,4,0.2,0.8,5,4,oracle,5,5,5585,1.0,0.11969975424527922,0.8803002457547208,1.0
2,4,0.4,0.8,6,4,oracle,6,6,5585,1.0,0.10469595876112661,0.8953040412388734,1.0
3,4,0.6000000000000001,0.8,7,4,oracle,7,7,5585,1.0,0.09422200815315152,0.9057779918468485,1.0
4,4,0.8,0.8,8,4,oracle,8,8,5585,1.0,0.08804679389454301,0.9119532061054568,1.0
5,4,1.0,0.8,9,4,oracle,9,9,5585,1.0,0.08066900819692359,0.9193309918030765,1.0
