condition,packet_loss,dropout_rate,false_positive_rate,samples,steps,mean_iou,mean_baseline_iou,mean_delta_iou,mean_dynamic_iou
clean,0.0,0.0,0.0,256,9,0.40565512380218366,0.17085413744897726,0.2348009863532064,0.4291245950712576
packet_loss_0.1,0.1,0.0,0.0,256,9,0.3840150267377911,0.1658606658015724,0.21815436093621868,0.39984971122759017
packet_loss_0.2,0.2,0.0,0.0,256,9,0.3561758184697365,0.15924921613247442,0.19692660233726209,0.3630059086278014
packet_loss_0.3,0.3,0.0,0.0,256,9,0.3260604376406487,0.15396160930971575,0.17209882833093293,0.32669831948065453
packet_loss_0.5,0.5,0.0,0.0,256,9,0.2568544337684382,0.13657847313327304,0.12027596063516516,0.24129934540367065
dropout_0.05,0.0,0.05,0.0,256,9,0.40229415010985686,0.16547288084954503,0.23682126926031183,0.4305963935981014
dropout_0.1,0.0,0.1,0.0,256,9,0.3955862623095079,0.15946924705192347,0.2361170152575844,0.42580058030241585
dropout_0.2,0.0,0.2,0.0,256,9,0.3742406678211508,0.14714555057536866,0.22709511724578213,0.4049751931567163
false_positive_0.001,0.0,0.0,0.001,256,9,0.40342106069262085,0.1612393430052671,0.24218171768735375,0.42134889202566495
false_positive_0.005,0.0,0.0,0.005,256,9,0.38331266321633706,0.13573621014708356,0.2475764530692535,0.375526361018732
