experiment_group,run,source,points,first_step,last_step,best_step,best_IoU,best_Delta_IoU,best_Dynamic_IoU,final_IoU,final_Delta_IoU,final_Dynamic_IoU
mst_ablation/baseline,checkpoints,runs/dair_v2x_full/mst_ablation/baseline/checkpoints/wandb_logs.txt,17,1000,16140,16000,0.5187520174524093,0.2469381074219122,0.464614467124453,0.5153090613220851,0.2434951512915879,0.45714220822815393
mst_ablation/bottleneck12,checkpoints,runs/dair_v2x_full/mst_ablation/bottleneck12/checkpoints/wandb_logs.txt,17,1000,16140,16140,0.6020531352109658,0.3302392251804687,0.5681820703269519,0.6020531352109658,0.3302392251804687,0.5681820703269519
mst_ablation/ds64_fp16,checkpoints,runs/dair_v2x_full/mst_ablation/ds64_fp16/checkpoints/wandb_logs.txt,17,1000,16140,16140,0.6066047432475752,0.3347908332170781,0.5887747478782317,0.6066047432475752,0.3347908332170781,0.5887747478782317
mst_ablation/gru_fp16,checkpoints,runs/dair_v2x_full/mst_ablation/gru_fp16/checkpoints/wandb_logs.txt,17,1000,16140,16000,0.5550889540123636,0.2832750439818664,0.5240131402235566,0.5544260017025616,0.2826120916720644,0.4962312986773632
our_method_T10_n10,checkpoints,runs/dair_v2x_full/our_method_T10_n10/checkpoints/wandb_logs.txt,16,1000,15630,15630,0.38530790963013906,0.21045395614169998,0.38340029205904924,0.38530790963013906,0.21045395614169998,0.38340029205904924
our_method_T10_n5,checkpoints,runs/dair_v2x_full/our_method_T10_n5/checkpoints/wandb_logs.txt,17,1000,16140,16140,0.51644047430234,0.24462656427184287,0.4465474621356068,0.51644047430234,0.24462656427184287,0.4465474621356068
vspm_sensitivity/T10_n15,checkpoints,runs/dair_v2x_full/vspm_sensitivity/T10_n15/checkpoints/wandb_logs.txt,31,1000,30240,29000,0.30646477856246823,0.17216000526501057,0.3384592513889136,0.30460334050581334,0.17029856720835565,0.31763723271350547
vspm_sensitivity/T10_n3,checkpoints,runs/dair_v2x_full/vspm_sensitivity/T10_n3/checkpoints/wandb_logs.txt,17,1000,16350,16350,0.5953554885864449,0.22289457591555345,0.4318033283818517,0.5953554885864449,0.22289457591555345,0.4318033283818517
vspm_sensitivity/T20_n5,checkpoints,runs/dair_v2x_full/vspm_sensitivity/T20_n5/checkpoints/wandb_logs.txt,31,1000,30240,28000,0.5236996314012414,0.25218403910308557,0.45643094285260066,0.5202294300136882,0.24871383771553224,0.44445076676253004
vspm_sensitivity/T30_n5,checkpoints,runs/dair_v2x_full/vspm_sensitivity/T30_n5/checkpoints/wandb_logs.txt,57,1000,56430,52000,0.5230330839281784,0.2519206480912275,0.4740983422972021,0.522501269121459,0.2513888332845081,0.4581425313521483
vspm_sensitivity/T5_n5,checkpoints,runs/dair_v2x_full/vspm_sensitivity/T5_n5/checkpoints/wandb_logs.txt,17,1000,16650,16650,0.5183460746042791,0.24637031744144233,0.4426804387657125,0.5183460746042791,0.24637031744144233,0.4426804387657125
