setting,mode,cases,mean_pred_iou,mean_copy_last_iou,mean_delta_iou,mean_dynamic_iou,worst_pred_iou,best_pred_iou
T10_n10_ckpt15000,comm_only,30,0.2960,0.1945,0.1015,0.2380,0.1273,1.0000
T10_n10_ckpt15000,comp_only,30,0.2784,0.1945,0.0839,0.2053,0.1116,1.0000
T10_n10_ckpt15000,dual,30,0.4097,0.1945,0.2153,0.4436,0.2181,1.0000
T10_n10_ckpt15000,no_comp,30,0.1945,0.1945,0.0000,0.0497,0.0807,1.0000
T10_n10_ckpt15000,oracle,30,1.0000,0.1945,0.8055,1.0000,1.0000,1.0000
T10_n5_ckpt16000,comm_only,15,0.3956,0.2857,0.1099,0.2672,0.1485,1.0000
T10_n5_ckpt16000,comp_only,15,0.3956,0.2857,0.1099,0.2672,0.1485,1.0000
T10_n5_ckpt16000,dual,15,0.5207,0.2857,0.2350,0.4830,0.4010,1.0000
T10_n5_ckpt16000,no_comp,15,0.2857,0.2857,0.0000,0.0836,0.1485,1.0000
T10_n5_ckpt16000,oracle,15,1.0000,0.2857,0.7143,1.0000,1.0000,1.0000
